央视,#genre#
CCTV1,http://36.44.159.138:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.01MB/s
CCTV1,http://221.13.234.34:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.43MB/s
CCTV1,http://221.13.234.108:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.28MB/s
CCTV1,http://125.42.150.152:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0,1.19MB/s
CCTV1,http://183.131.246.250:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.62MB/s
CCTV1,http://123.52.109.89:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.35MB/s
CCTV1,http://183.186.88.251:8899/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.12MB/s
CCTV1,http://183.186.88.244:8899/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.03MB/s
CCTV1,http://175.0.78.209:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0,0.03MB/s
CCTV1,http://123.159.125.38:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0,0.01MB/s
CCTV1,http://36.44.159.108:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.01MB/s
CCTV1,http://218.92.37.174:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.01MB/s
CCTV1,http://221.13.235.164:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.01MB/s
CCTV1,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.01MB/s
CCTV1,http://116.11.156.101:8811/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.28MB/s
CCTV1,http://119.125.134.172:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.06MB/s
CCTV2,http://36.44.159.138:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.01MB/s
CCTV2,http://211.141.56.169:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,1.65MB/s
CCTV2,http://221.13.234.170:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,1.47MB/s
CCTV2,http://221.13.234.34:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,1.40MB/s
CCTV2,http://218.92.37.174:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,1.34MB/s
CCTV2,http://183.186.88.251:8899/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,1.33MB/s
CCTV2,http://175.0.78.209:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0,1.33MB/s
CCTV2,http://221.13.234.108:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,1.22MB/s
CCTV2,http://125.42.150.152:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0,1.06
CCTV2,http://221.13.235.164:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.95
CCTV2,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.78
CCTV2,http://183.131.246.250:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.62
CCTV2,http://123.159.125.38:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV2,http://36.44.159.108:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV2,http://123.52.109.89:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV2,http://183.186.88.244:8899/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV2,http://116.11.156.101:8811/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,1.22
CCTV2,http://119.125.134.172:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV3,http://218.92.37.174:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.45
CCTV3,http://221.13.234.34:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.44
CCTV3,http://221.13.234.108:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.33
CCTV3,http://211.141.56.169:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.18
CCTV3,http://183.186.88.251:8899/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.82
CCTV3,http://183.186.88.244:8899/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.78
CCTV3,http://125.42.150.152:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0,0.44
CCTV3,http://221.13.235.164:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.03
CCTV3,http://123.159.125.38:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV3,http://36.44.159.108:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV3,http://36.44.159.138:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV3,http://123.52.109.89:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV3,http://183.131.246.250:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV3,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV3,http://175.0.78.209:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV3,http://116.11.156.101:8811/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.49
CCTV3,http://119.125.134.172:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV4,http://221.13.234.34:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.47
CCTV4,http://218.92.37.174:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.45
CCTV4,http://221.13.234.108:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.42
CCTV4,http://221.13.235.164:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.33
CCTV4,http://211.141.56.169:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.14
CCTV4,http://183.186.88.244:8899/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.95
CCTV4,http://125.42.150.152:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0,0.60
CCTV4,http://183.186.88.251:8899/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.08
CCTV4,http://123.159.125.38:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV4,http://36.44.159.138:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV4,http://123.52.109.89:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV4,http://183.131.246.250:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV4,http://119.125.134.172:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.48
CCTV5+,http://116.11.156.101:8811/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0,1.38
CCTV5+,http://36.44.159.108:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV5+,http://36.44.159.138:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV5+,http://175.0.78.209:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV5+,http://183.186.88.251:8899/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0,0.95
CCTV5+,http://183.186.88.244:8899/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV5,http://221.13.234.34:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,1.46
CCTV5,http://221.13.234.108:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,1.41
CCTV5,http://123.52.109.89:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,1.07
CCTV5,http://125.42.150.152:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0,0.62
CCTV5,http://218.92.37.174:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.03
CCTV5,http://123.159.125.38:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV5,http://36.44.159.108:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV5,http://36.44.159.138:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV5,http://183.131.246.250:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV5,http://183.186.88.251:8899/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV5,http://183.186.88.244:8899/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
